pr_id,repo_id,number,agent,state,created_at,merged_at,closed_at,has_human_comment,has_human_review,has_human_commit,scenario_label
3232844270,887571250,359,Claude_Code,open,2025-07-15T16:02:35Z,,,1,1,1,S2_Human_coedited
3214555104,136202695,16658,Claude_Code,closed,2025-07-09T05:35:26Z,2025-07-11T05:13:35Z,2025-07-11T05:13:35Z,1,1,1,S2_Human_coedited
3215730319,65600975,157910,Claude_Code,open,2025-07-09T12:13:49Z,,,1,1,1,S2_Human_coedited
3216706697,3729629,32609,Claude_Code,closed,2025-07-09T17:50:59Z,2025-07-14T15:38:38Z,2025-07-14T15:38:38Z,1,1,1,S2_Human_coedited
3219102497,92974124,7692,Claude_Code,closed,2025-07-10T12:10:30Z,,2025-07-15T20:57:25Z,1,1,1,S2_Human_coedited
3219880512,614765452,10340,Claude_Code,closed,2025-07-10T15:52:56Z,2025-07-18T03:20:54Z,2025-07-18T03:20:54Z,1,1,1,S2_Human_coedited
3220223180,756126820,86,Claude_Code,closed,2025-07-10T18:07:19Z,2025-07-11T17:03:16Z,2025-07-11T17:03:17Z,1,1,1,S2_Human_coedited
3222101465,839216423,2520,Claude_Code,closed,2025-07-11T08:45:31Z,2025-07-14T03:57:13Z,2025-07-14T03:57:14Z,1,1,1,S2_Human_coedited
2876006908,314197645,3375,Claude_Code,closed,2025-02-24T19:52:57Z,,2025-04-20T19:47:42Z,1,1,1,S2_Human_coedited
2882576893,867337374,158,Claude_Code,closed,2025-02-26T19:15:09Z,2025-03-01T00:24:19Z,2025-03-01T00:24:19Z,1,1,1,S2_Human_coedited
3098322647,120650407,6952,Claude_Code,closed,2025-05-28T19:12:52Z,,2025-05-29T21:24:04Z,1,1,1,S2_Human_coedited
3146561196,867337374,511,Claude_Code,closed,2025-06-14T18:53:08Z,2025-06-17T20:31:21Z,2025-06-17T20:31:21Z,1,1,1,S2_Human_coedited
3245552368,16563587,150562,Claude_Code,closed,2025-07-19T18:47:12Z,2025-07-21T18:29:38Z,2025-07-21T18:29:38Z,1,1,1,S2_Human_coedited
3189507528,707764474,839,Claude_Code,closed,2025-06-30T18:44:36Z,2025-07-01T10:27:38Z,2025-07-01T10:27:38Z,1,1,1,S2_Human_coedited
3086930190,912106066,53,Claude_Code,closed,2025-05-23T16:37:33Z,2025-05-26T08:46:01Z,2025-05-26T08:46:01Z,1,1,1,S2_Human_coedited
3094661465,564599,3551,Claude_Code,open,2025-05-27T17:27:43Z,,,1,1,1,S2_Human_coedited
3132739442,887571250,340,Claude_Code,closed,2025-06-10T08:57:49Z,2025-06-10T17:17:30Z,2025-06-10T17:17:30Z,1,1,1,S2_Human_coedited
3132983801,887571250,341,Claude_Code,closed,2025-06-10T10:14:35Z,2025-06-10T17:26:23Z,2025-06-10T17:26:23Z,1,1,1,S2_Human_coedited
3138027382,963547829,244,Claude_Code,closed,2025-06-11T20:29:19Z,2025-06-13T17:52:51Z,2025-06-13T17:52:51Z,1,1,1,S2_Human_coedited
3139315341,845317529,1118,Claude_Code,closed,2025-06-12T08:18:14Z,2025-06-19T06:29:42Z,2025-06-19T06:29:42Z,1,1,1,S2_Human_coedited
3247725112,826170402,5642,Claude_Code,closed,2025-07-21T08:41:23Z,2025-07-21T16:11:39Z,2025-07-21T16:11:39Z,1,1,1,S2_Human_coedited
3175209026,136202695,16449,Claude_Code,closed,2025-06-25T11:00:31Z,2025-06-25T12:35:55Z,2025-06-25T12:35:55Z,1,1,1,S2_Human_coedited
3177654490,839216423,2224,Claude_Code,closed,2025-06-26T04:06:39Z,2025-06-26T05:38:34Z,2025-06-26T05:38:34Z,1,1,1,S2_Human_coedited
3226800461,1008373485,57,Claude_Code,open,2025-07-13T20:32:14Z,,,1,1,1,S2_Human_coedited
3160647911,883397691,208,Claude_Code,closed,2025-06-19T15:04:14Z,2025-07-10T05:41:21Z,2025-07-10T05:41:22Z,1,1,1,S2_Human_coedited
3167450477,839216423,2156,Claude_Code,closed,2025-06-23T09:26:04Z,2025-06-25T08:17:47Z,2025-06-25T08:17:48Z,1,1,1,S2_Human_coedited
3147421099,942837343,783,Claude_Code,closed,2025-06-15T11:55:29Z,,2025-06-17T06:37:31Z,1,1,1,S2_Human_coedited
