term,beta,se,p_value,or,or_ci_low_95,or_ci_high_95
Intercept,-2.5508646175794256,0.31305157640729336,3.688180290603771e-16,0.07801418439719215,0.042237547289300764,0.14409484825130467
C(agent)[T.Copilot],-0.9206684028971015,0.3492558471907013,0.008386850531065427,0.39825275880474054,0.20084739997059103,0.7896804236390937
C(agent)[T.Cursor],1.1339966764306484,0.32576375375017397,0.0004994707855973896,3.108053594581758,1.6413182321943558,5.885511387927301
C(agent)[T.Devin],2.236921494018234,0.3164539024652451,1.5637832391821423e-12,9.364458326480094,5.036300804248697,17.41220057277024
C(agent)[T.OpenAI_Codex],-0.8454724871988373,0.3204668428810018,0.00833344774730032,0.4293544457983518,0.22910210550215554,0.804642278266078
C(scenario_label)[T.S1_Human_reviewed],2.098879493836132,0.41943219644405827,5.612442459222217e-07,8.157024793383467,3.5851215864555623,18.559218111666496
C(scenario_label)[T.S2_Human_coedited],2.9267709234460577,0.33819623596640513,4.9698538069982055e-18,18.667255075015344,9.620596807470323,36.22087267653755
C(agent)[T.Copilot]:C(scenario_label)[T.S1_Human_reviewed],2.427641194439803,0.4499341080602362,6.831462651563252e-08,11.332120261165542,4.691584362813134,27.371766056556243
C(agent)[T.Cursor]:C(scenario_label)[T.S1_Human_reviewed],-0.24082836197737656,0.44607506485731474,0.5892776949692035,0.7859765182671505,0.3278708529640069,1.88415371992572
C(agent)[T.Devin]:C(scenario_label)[T.S1_Human_reviewed],0.16468711390475899,0.42896943187822484,0.701042632856234,1.1790241607276444,0.5086002306082213,2.7331839191601333
C(agent)[T.OpenAI_Codex]:C(scenario_label)[T.S1_Human_reviewed],0.6043104303820389,0.4439646289879521,0.17346061546692937,1.829989868285585,0.766546250653161,4.368768244805039
C(agent)[T.Copilot]:C(scenario_label)[T.S2_Human_coedited],2.5592840926111218,0.3805673818969418,1.7569244660078074e-11,12.926559782509242,6.131086786835582,27.253887217771393
C(agent)[T.Cursor]:C(scenario_label)[T.S2_Human_coedited],-0.838734708456208,0.3631572814731571,0.02091234660148929,0.4322571088257588,0.21213700137163777,0.8807808488019139
C(agent)[T.Devin]:C(scenario_label)[T.S2_Human_coedited],-1.317868479068438,0.3476158979843621,0.00014994359226415434,0.2677053137337419,0.13544418543689465,0.5291193178216678
C(agent)[T.OpenAI_Codex]:C(scenario_label)[T.S2_Human_coedited],-1.8100973905812827,0.34623718804389464,1.714354945872615e-07,0.16363819920728997,0.08301597007538093,0.3225579393397439
